Objects,x-coordinate,y-coordinate,,,,,,
whiteboard_1,16.0,16.0,,,,,,
door,15.1,10.4,,,,,,
whiteboard_3,8.5,16.6,,,,,,
whiteboard_4,8.7,17.2,,,,,,
cabinet,11.2,17.7,,,,,,
chair_1,8.3,21.9,,,,,,
chair_2,9.0,21.7,,,,,,
window_1,9.2,22.6,,,,,,
window_2,10.9,22.0,,,,,,
chair_3,11.8,18.4,,,,,,
chair_4,12.2,19.3,,,,,,
chair_5,12.5,20.3,,,,,,
chair_6,12.9,21.2,,,,,,
window_3,12.6,21.5,,,,,,
window_4,14.8,20.9,,,,,,
chair_7,13.0,17.9,,,,,,
chair_8,13.4,19.4,,,,,,
chair_9,13.8,20.9,,,,,,
chair_10,16.3,20.1,,,,,,
chair_11,16.2,19.4,,,,,,
window_5,16.9,20.3,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
